URL,Success,Business,Grade,AI Score,Local Score,Total,Time(s),Error
https://www.morrisbart.com/alabama-personal-injury-lawyer/,True,,F,0,0,0,0.17,
https://en.wikipedia.org/wiki/Personal_injury_lawyer,True,Personal injury lawyer,C,42,38,80,0.43,
https://www.forthepeople.com/,True,Morgan & Morgan Lawyers,D,32,40,72,0.6,
https://www.cantorinjurylaw.com/,True,St. Louis Personal Injury Lawyers,C,44,52,96,0.87,
https://www.usa.gov/legal-aid,True,Find a lawyer for affordable legal aid,D,33,30,63,1.18,
https://injurylawyer.com/,True,Personal Injury Law Firm,C,41,40,81,2.13,
https://harrispersonalinjury.com/,True,Harris Personal Injury Lawyers,D,34,45,79,2.61,
https://topdoglaw.com/,True,TopDog Law Personal Injury Lawyers,D,24,39,63,2.7,
https://nicoletlaw.com/,True,Award,C,35,47,82,2.18,
https://www.sweeneymerrigan.com/,True,Boston Personal Injury Lawyers,C,42,51,93,1.96,
https://pricebenowitz.com/,True,Price Benowitz LLP,C,36,44,80,3.12,
https://www.silvermanthompson.com/practice-areas/personal-injury-lawyers/,True,Personal Injury & Accidents,D,26,37,63,0.81,
https://ankinlaw.com/personal-injury/,True,Chicago Personal Injury Lawyers,C,44,47,91,3.25,
https://www.stoneinjurylawyers.com/,True,Boston Injury Lawyers,C,41,48,89,2.8,
https://www.marksandharrison.com/personal-injury-attorney/,True,Virginia Personal Injury Lawyer,C,51,44,95,1.54,
https://www.burgsimpson.com/colorado/personal-injury-lawyer/,True,Denver Personal Injury Lawyers,C,45,50,95,2.18,
https://www.americanbar.org/groups/public_education/resources/law_issues_for_consumers/injury/,True,,F,0,0,0,0.34,
https://demayolaw.com/charlotte/personal-injury-lawyer/,True,Personal Injury Lawyer in Charlotte,C,48,51,99,2.19,
https://www.injurylawny.com/,True,White Plains Personal Injury Lawyer,D,33,43,76,0.79,
https://www.walkuplawoffice.com/sacramento-personal-injury-lawyers/,True,Sacramento Personal Injury Attorney [Top,C,45,40,85,2.21,
https://nicoletlaw.com/minneapolis-personal-injury-lawyer/,True,Minneapolis Personal Injury Attorney,C,40,49,89,2.11,
https://whitleylawfirm.com/,True,Raleigh Personal Injury Lawyers,D,32,45,77,1.75,
https://siegfriedandjensen.com/boise-id/personal-injury-lawyer/,True,Personal Injury Lawyer in Boise,C,47,46,93,1.39,
https://www.singletonschreiber.com/practices/personal-injury/california-personal-injury-lawyer,True,San Diego Personal Injury Attorney,C+,59,54,113,2.71,
https://www.injurytriallawyer.com/,True,Seattle Personal Injury Lawyers,C+,53,50,103,1.38,
https://www.aitkenlaw.com/orange-county-personal-injury-lawyer/,True,Orange County Personal Injury Lawyer [Voted #1 2025] OC Lawyer,C,41,50,91,3.03,
https://www.derricklawfirm.com/,True,South Carolina Personal Injury Lawyer,C,39,46,85,2.34,
https://www.westinjurylawyers.com/,True,,F,0,0,0,0.43,
https://attorneys.superlawyers.com/personal-injury-plaintiff/florida/miami/,True,,F,0,0,0,0.35,
https://www.ruttermills.com/virginia-beach/personal-injury-lawyers/,True,Virginia Beach Personal Injury Lawyers,D,32,45,77,1.79,
https://buckfirelaw.com/,True,Michigan Personal Injury Lawyer,C,35,45,80,1.76,
https://www.stark-stark.com/pennsylvania-personal-injury-lawyer/,True,Pennsylvania Personal Injury Lawyers,C,48,50,98,2.79,
https://workmaninjurylaw.com/,True,Fort Lauderdale Personal Injury Lawyer,C,42,51,93,1.37,
https://www.knowyourrights.com/,True,MN Personal Injury Lawyers,D,33,46,79,1.39,
https://bencrump.com/maryland-personal-injury-lawyer/,True,Maryland Personal Injury Lawyer,D,23,38,61,1.87,
https://www.riscassi-davis.com/,True,Connecticut Personal Injury Attorneys,D,34,42,76,1.76,
https://justicecounts.com/charlotte-personal-injury-lawyer/,True,Charlotte Personal Injury Lawyer,C,45,43,88,1.8,
https://www.injurytriallawyer.com/,True,Seattle Personal Injury Lawyers,C+,53,50,103,1.05,
https://www.gairgair.com/brooklyn-personal-injury-lawyer.html,True,Brooklyn Personal Injury Lawyer,C+,56,61,117,0.7,
https://www.acelawgroup.com/,True,Las Vegas Personal Injury Lawyer,C,35,50,85,1.19,
https://selfhelp.courts.ca.gov/civil-lawsuit/personal-injury,True,Personal injury cases,F,28,25,53,0.79,
https://bencrump.com/maryland-personal-injury-lawyer/,True,Maryland Personal Injury Lawyer,D,23,38,61,1.64,
https://halperinlegal.com/,True,Virginia Personal Injury Lawyers,D,29,45,74,1.49,
https://www.zehllaw.com/,True,Houston Personal Injury Lawyer,C+,51,49,100,0.96,
https://www.lynchowens.com/personal-injury/,True,Massachusetts Personal Injury Attorneys,C,41,43,84,1.17,
https://www.stuteslaw.com/lakecharlesinjuryattorneys,True,Lake Charles Personal Injury Lawyer,D,29,31,60,0.5,
https://www.hgdlawfirm.com/alabama/,True,Personal Injury Lawyer in Alabama,C+,59,57,116,1.47,
https://www.evenuplaw.com/,True,EvenUp,F,22,32,54,0.65,
https://josephhollander.com/wichita/personal-injury-attorney/,True,Wichita Personal Injury Lawyer,D,28,36,64,2.11,
https://www.klinespecter.com/personal-injury-lawyers/,True,Personal Injury Philadelphia PA,C+,45,55,100,6.51,
https://www.salterhealy.com/st-petersburg-personal-injury-attorneys/,True,St. Petersburg Personal Injury Lawyer,C,43,43,86,3.31,
https://www.boginmunns.com/orlando-personal-injury-lawyer/,True,Personal Injury Lawyer in Orlando,C,46,45,91,0.73,
https://www.coloradolaw.net/,True,Colorado Personal Injury Law Firm,C+,50,51,101,5.49,
https://www.tobininjurylaw.com/,True,Atlanta Personal Injury Lawyer,C+,49,55,104,5.48,
https://www.johnfoy.com/covington-personal-injury-lawyer/,True,Personal Injury Lawyer in Covington,C,39,52,91,1.05,
https://www.chainlaw.com/bakersfield-personal-injury-lawyer/,True,Bakersfield Personal Injury Lawyer,C,40,53,93,1.37,
https://www.floridainjuryadvocate.com/,True,Florida Car Accident Lawyer,C,40,42,82,1.73,
https://www.truittlawoffices.com/,True,Fort Wayne Personal Injury Attorney,C,49,40,89,0.98,
https://www.mannlawllc.com/portland-personal-injury-lawyer/,True,Portland Personal Injury Lawyer,C,37,44,81,1.33,
https://www.sandlawllc.com/,True,Minnesota Personal Injury Lawyers & Accident Attorneys,D,29,41,70,1.25,
https://injurylawmn.com/,True,Minnesota Personal Injury Lawyers,D,32,42,74,1.31,
https://www.michiganinjurylawyer.com/,True,Detroit Personal Injury Attorney,C,36,46,82,1.19,
https://springslawgroup.com/,True,The #1 Colorado Personal Injury Lawyers,C+,45,55,100,7.69,
https://www.pendaslaw.com/,True,Florida Personal Injury Lawyer,C,49,49,98,4.96,
https://www.wyattinjurylaw.com/,True,Phoenix Personal Injury Lawyer,C,37,54,91,1.71,
https://www.washingtonlawcenter.com/personal-injury-attorney/,True,Personal Injury Attorneys in Washington,C,39,45,84,4.09,
https://wilshirelawfirm.com/personal-injury-lawyers/,True,California Personal Injury Attorney,F,24,26,50,1.49,
https://www.malmanlaw.com/,True,Chicago Personal Injury Lawyer,C+,58,57,115,2.55,
https://www.robinskaplan.com/services/personal-injury-attorneys,True,Personal Injury Attorneys,C,34,47,81,1.43,
https://harrispersonalinjury.com/oakland/,True,Oakland,F,22,27,49,1.95,
https://www.fvflawfirm.com/,True,Austin Personal Injury Lawyer,C+,50,58,108,4.23,
https://www.injurylawny.com/,True,White Plains Personal Injury Lawyer,D,33,43,76,0.48,
https://www.duffyduffylaw.com/long-island-personal-injury-lawyer/,True,Long Island Personal Injury Lawyer,D,30,39,69,0.86,
https://www.jeffreysglassman.com/personal-injury.html,True,Personal Injury Practice Areas in Massachusetts,C,44,54,98,0.54,
https://zayedlawoffices.com/,True,Chicago Personal Injury Lawyer,B,64,61,125,1.7,
https://www.dfwinjurylawyers.com/,True,Dallas Personal Injury Attorneys,C,36,47,83,2.43,
https://www.sweeneymerrigan.com/,True,Boston Personal Injury Lawyers,C,42,51,93,1.45,
https://www.goingslawfirm.com/,True,"Personal Injury Law Firm in Columbia, SC",C+,47,55,102,1.44,
https://www.mcmathlaw.com/,True,Little Rock Personal Injury Lawyers,C+,57,56,113,2.29,
https://www.derricklawfirm.com/,True,South Carolina Personal Injury Lawyer,C,39,46,85,1.61,
https://www.injurylawyerhouston.com/,True,"Houston, TX Personal Injury Attorney",C,35,45,80,2.18,
https://www.rosenbaumnylaw.com/brooklyn/,True,Brooklyn Personal Injury Lawyer,D,35,38,73,1.04,
https://gladsteinlawfirm.com/,True,,F,0,0,0,0.23,
https://www.ltke.com/personal-injury/,True,New Haven Personal Injury Lawyers,C,39,44,83,4.08,
https://shakedlaw.com/,True,Miami Personal Injury Lawyer,C,47,50,97,0.99,
https://www.patellawteam.com/springfield-personal-injury-lawyer/,True,Springfield Personal Injury Lawyer,C,36,46,82,4.22,
https://www.kanoski.com/decatur-il-personal-injury-attorney,True,Decatur Personal Injury Lawyer,C,39,46,85,0.86,
https://www.sweetserlawoffice.com/personal-injury/,True,Spokane Injury Lawyer,D,29,40,69,0.94,
https://www.ramoslaw.com/personal-injury/,True,Personal Injury Lawyer,C,48,45,93,2.96,
https://www.personalinjurybakersfield.com/,True,Bakersfield Personal Injury Lawyer,D,29,47,76,0.58,
https://www.dplaw.com/millsboro-injury/,True,Millsboro Personal Injury Lawyer,F,23,32,55,0.7,
https://mcmahanlawfirm.com/,True,The McMahan Law Firm in Chattanooga,D,28,40,68,1.86,
https://www.cannon-dunphy.com/kenosha/,True,Kenosha Personal Injury Lawyer,F,27,32,59,3.3,
https://www.4injured.com/,True,Seattle Personal Injury Lawyers,C,42,50,92,1.16,
https://ankinlaw.com/personal-injury/,True,Chicago Personal Injury Lawyers,C,44,47,91,1.5,
https://www.wilhitelawfirm.com/denver/,True,Personal Injury Lawyer in Denver,C+,54,55,109,2.9,
https://www.lawofficesofdeanhfreeman.com/,True,West Palm Beach FL Personal Injury Lawyer,D,31,42,73,3.52,
https://www.thestanleylawgroup.com/,True,,F,0,0,0,15.07,
